"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2020","271.39","271.00","277.17","268.80","23.69M","1.64%"
"Aug 21, 2020","267.01","268.69","270.49","266.42","15.54M","-0.74%"
"Aug 20, 2020","269.01","261.52","269.60","261.52","20.30M","2.44%"
"Aug 19, 2020","262.59","261.39","267.86","261.39","23.29M","0.10%"
"Aug 18, 2020","262.34","260.99","265.12","259.34","18.69M","0.45%"
"Aug 17, 2020","261.16","262.33","264.05","259.41","13.35M","-0.03%"
"Aug 14, 2020","261.24","262.30","262.65","258.68","14.79M","-0.02%"
"Aug 13, 2020","261.30","261.27","265.05","259.63","17.37M","0.54%"
"Aug 12, 2020","259.89","259.07","263.85","258.19","21.43M","1.47%"
"Aug 11, 2020","256.13","260.98","265.90","255.15","28.24M","-2.61%"
"Aug 10, 2020","263.00","267.70","273.79","259.92","30.25M","-2.03%"
"Aug 07, 2020","268.44","264.08","278.89","263.43","72.77M","1.19%"
"Aug 06, 2020","265.28","248.90","266.51","248.69","45.24M","6.49%"
"Aug 05, 2020","249.12","250.36","252.24","247.83","13.09M","-0.28%"
"Aug 04, 2020","249.83","251.51","252.78","247.48","17.18M","-0.85%"
"Aug 03, 2020","251.96","252.65","255.32","250.34","23.13M","-0.67%"
"Jul 31, 2020","253.67","255.82","255.85","249.00","53.03M","8.17%"
"Jul 30, 2020","234.50","230.21","234.89","229.18","20.62M","0.52%"
"Jul 29, 2020","233.29","231.14","233.70","230.31","13.59M","1.38%"
"Jul 28, 2020","230.12","234.64","234.92","229.98","14.17M","-1.45%"
"Jul 27, 2020","233.50","231.28","234.90","230.86","13.16M","1.21%"
"Jul 24, 2020","230.71","230.19","233.49","226.90","18.33M","-0.81%"
"Jul 23, 2020","232.60","239.68","242.33","231.79","21.77M","-3.03%"
"Jul 22, 2020","239.87","240.25","241.87","238.13","15.43M","-0.78%"
"Jul 21, 2020","241.75","246.37","246.84","240.13","19.41M","-1.50%"
"Jul 20, 2020","245.42","240.23","245.98","235.71","20.87M","1.40%"
"Jul 17, 2020","242.03","241.00","244.16","237.86","18.15M","0.46%"
"Jul 16, 2020","240.93","237.99","241.76","236.35","18.88M","0.27%"
"Jul 15, 2020","240.28","241.33","244.77","238.09","19.13M","0.23%"
"Jul 14, 2020","239.73","236.20","240.32","232.07","23.38M","0.31%"
"Jul 13, 2020","239.00","247.00","250.05","238.44","24.67M","-2.48%"
"Jul 10, 2020","245.07","243.68","245.49","239.32","22.98M","0.23%"
"Jul 09, 2020","244.50","245.21","246.42","239.29","22.17M","0.38%"
"Jul 08, 2020","243.58","238.48","245.16","236.60","29.79M","1.13%"
"Jul 07, 2020","240.86","239.51","247.64","238.88","27.89M","0.24%"
"Jul 06, 2020","240.28","234.44","240.37","232.27","26.21M","2.94%"
"Jul 02, 2020","233.42","239.00","240.00","232.61","30.63M","-1.74%"
"Jul 01, 2020","237.55","228.45","238.99","227.63","43.40M","4.62%"
"Jun 30, 2020","227.07","220.17","227.36","218.50","33.93M","2.91%"
"Jun 29, 2020","220.64","209.49","220.65","207.22","58.51M","2.11%"
"Jun 26, 2020","216.08","232.64","233.09","215.40","76.34M","-8.32%"
"Jun 25, 2020","235.68","234.52","237.25","232.80","18.70M","0.71%"
"Jun 24, 2020","234.02","241.42","243.21","232.84","20.83M","-3.39%"
"Jun 23, 2020","242.24","241.28","245.15","239.91","24.02M","1.26%"
"Jun 22, 2020","239.22","238.51","240.68","236.94","18.92M","0.18%"
"Jun 19, 2020","238.79","237.79","240.83","235.55","30.08M","1.21%"
"Jun 18, 2020","235.94","234.65","236.10","232.17","15.78M","0.17%"
"Jun 17, 2020","235.53","234.91","237.55","231.74","19.58M","-0.05%"
"Jun 16, 2020","235.65","237.14","238.46","233.00","15.14M","1.35%"
"Jun 15, 2020","232.50","225.33","233.01","224.83","15.34M","1.71%"
"Jun 12, 2020","228.58","229.90","231.66","224.50","22.09M","1.85%"
